528,3,ALDH7A1,3
529,3,ANAPC4,3
530,3,ASMT,3
531,3,ATIC,3
532,3,ATRX,3
533,3,BCL6,3
534,3,BCL9,3
535,3,BTG1,3
536,3,CALM1,4
537,3,CARD11,3
538,3,CARS,3
539,3,CASP3,3
540,3,CCNB1IP1,3
541,3,CDC14A,3
542,3,CDK8,5
543,3,CHD8,3
544,3,CHST12,3
545,3,CIC,3
546,3,CLTCL1,3
547,3,COL1A2,5
548,3,COL3A1,4
549,3,COMT,3
550,3,COX6C,3
551,3,CPT1B,3
552,3,CRTC1,3
553,3,CYP17A1,3
554,3,CYP21A2,3
555,3,CYP3A4,4
556,3,DCN,5
557,3,DDB1,3
558,3,DDR1,4
559,3,DDR2,4
560,3,DDX23,3
561,3,DGKE,3
562,3,DLL1,3
563,3,DPAGT1,3
564,3,DUSP2,3
565,3,DUSP3,3
566,3,ELK1,3
567,3,EPHA7,4
568,3,ETS1,5
569,3,ETV6,3
570,3,EYA2,4
571,3,F8,3
572,3,FAM123B,3
573,3,FCGR2B,4
574,3,FGF13,4
575,3,FLCN,3
576,3,FLI1,4
577,3,FUT1,4
578,3,FZD7,4
579,3,GALNT5,3
580,3,GATA6,4
581,3,GFAP,5
582,3,GPHN,3
583,3,GSN,3
584,3,GUCY2F,3
585,3,HDAC7,3
586,3,HERC2,3
587,3,HOXA13,3
588,3,HOXC13,3
589,3,HOXD13,3
590,3,HSD17B1,3
591,3,HSD17B2,3
592,3,HSD3B2,3
593,3,HUWE1,3
594,3,IDH2,3
595,3,IKBKAP,3
596,3,IL6,5
597,3,IL8,5
598,3,ILK,5
599,3,IMPA2,3
600,3,INPP1,3
601,3,INPP4B,3
602,3,INPP5B,3
603,3,INPP5E,3
604,3,INPP5J,3
605,3,ITPKA,4
606,3,ITPR2,3
607,3,KDSR,3
608,3,KIAA0774,4
609,3,KIAA1303,3
610,3,LIG3,3
611,3,MADD,4
612,3,MAFB,4
613,3,MALT1,3
614,3,MAML2,3
615,3,MAOA,3
616,3,MAPK14,5
617,3,MAPK8,5
618,3,MARK4,4
619,3,MATK,4
620,3,MDH1,4
621,3,MGA,3
622,3,MLH3,3
623,3,MLLT4,3
624,3,MMP2,5
625,3,MYB,5
626,3,NCOA3,3
627,3,NFKB1,3
628,3,NFKB2,3
629,3,NFKBIA,3
630,3,NRP1,4
631,3,NTRK2,5
632,3,OLIG2,5
633,3,PAK1,3
634,3,PAK3,4
635,3,PALB2,3
636,3,PAX8,3
637,3,PCM1,3
638,3,PFKP,3
639,3,PI4KB,3
640,3,PIKFYVE,3
641,3,PKM2,3
642,3,PLCB2,3
643,3,PLD2,3
644,3,POLD1,3
645,3,POLE3,3
646,3,POLR1D,3
647,3,POLR2B,3
648,3,POSTN,5
649,3,PPAP2C,3
650,3,PPARGC1B,3
651,3,PPME1,3
652,3,PPP2R4,3
653,3,PPP3CA,4
654,3,PPP3CB,4
655,3,PRMT1,3
656,3,PRPS1,3
657,3,PSEN1,3
658,3,PTPRK,3
659,3,PTPRM,3
660,3,RAC1,4
661,3,RAD52,3
662,3,RAD54B,3
663,3,RAD54L,3
664,3,RANBP17,3
665,3,RAP2A,5
666,3,RARB,3
667,3,RELA,3
668,3,RICTOR,3
669,3,ROBO2,3
670,3,ROR2,4
671,3,RPA3,3
672,3,RPS6KB2,3
673,3,RRM2B,3
674,3,RUNX2,4
675,3,SCYL1,3
676,3,SETD7,3
677,3,SETDB1,3
678,3,SFRS3,3
679,3,SGK1,3
680,3,SGPP1,3
681,3,SIK2,4
682,3,SMAD7,4
683,3,SPHKAP,3
684,3,SPP1,5
685,3,SSX2,3
686,3,STAG2,3
687,3,STAG3,3
688,3,SULF1,5
689,3,TFEB,3
690,3,TFG,3
691,3,TFPT,3
692,3,TLX3,3
693,3,TMPRSS2,3
694,3,TNFRSF1B,5
695,3,TOP2B,4
696,3,TUSC3,5
697,3,UBE2B,3
698,3,UBE2M,3
699,3,UBE2O,3
700,3,UBR5,3
701,3,WNT11,3
702,3,WNT8B,3
703,3,XRCC1,3
704,3,ZMYM2,3
705,3,ZNF384,4
706,2.75,ABI1,5
707,2.75,ADAM15,5
708,2.75,AKAP12,4
709,2.75,ALCAM,4
710,2.75,B3GAT1,4
711,2.75,CASP8,4
712,2.75,CCNA2,4
713,2.75,CD9,4
714,2.75,CDH13,4
715,2.75,CDK9,4
716,2.75,CHUK,4
717,2.75,CNTN1,5
718,2.75,CSNK2A2,4
719,2.75,DGKH,4
720,2.75,DLC1,4
721,2.75,DNM3,5
722,2.75,E2F4,4
723,2.75,EPHA10,4
724,2.75,EPHB3,4
725,2.75,EPS15,4
726,2.75,FASLG,4
727,2.75,FLNA,4
728,2.75,GRB10,4
729,2.75,HSPA8,5
730,2.75,IL1B,4
731,2.75,IL1R1,4
732,2.75,ING1,4
733,2.75,ITGB2,5
734,2.75,JUND,4
735,2.75,KLK3,4
736,2.75,LAMA5,4
737,2.75,LATS2,5
738,2.75,MAGEA1,5
739,2.75,MAP2K3,4
740,2.75,NOTCH4,5
741,2.75,NR2F2,4
742,2.75,NUMB,4
743,2.75,OLIG1,4
744,2.75,PAX5,5
745,2.75,PDPK1,5
746,2.75,PLA2G2A,4
747,2.75,PLAG1,5
748,2.75,PLK3,4
749,2.75,PTPRT,4
750,2.75,PTTG1,4
751,2.75,RHOC,4
752,2.75,ROCK1,4
753,2.75,SDC1,4
754,2.75,SMAD6,4
755,2.75,SOD2,4
756,2.75,STAT1,5
757,2.75,SYK,4
758,2.75,SYNJ2,4
759,2.75,SYP,6
760,2.75,TES,4
761,2.75,TIE1,4
762,2.75,TNFRSF1A,4
763,2.75,TP63,4
764,2.75,TRIM24,5
765,2.75,TTK,4
766,2.75,TYMP,4
767,2.75,VCAM1,4
768,2.75,XRCC6,4
769,2.5,ABCB1,4
770,2.5,ABCD2,3
771,2.5,ACPP,3
772,2.5,ACSBG1,4
773,2.5,ACVR1B,3
774,2.5,ACVR2A,3
775,2.5,ADAM19,3
776,2.5,AFF4,3
777,2.5,AKAP13,3
778,2.5,AKR1C1,4
779,2.5,ALDH2,3
780,2.5,AMBP,3
781,2.5,AMFR,4
782,2.5,AMH,3
783,2.5,ANGPT1,4
784,2.5,APBB1IP,4
785,2.5,ARHGAP29,3
786,2.5,ARHGEF7,3
787,2.5,ASL,3
788,2.5,ATF2,3
789,2.5,ATF3,3
790,2.5,ATP6V1E1,4
791,2.5,ATRNL1,4
792,2.5,BAI1,4
793,2.5,BCL11B,4
794,2.5,BCL7A,3
795,2.5,BMPR2,3
796,2.5,BRD4,3
797,2.5,CACNA1G,3
798,2.5,CAMK2A,4
799,2.5,CAMK2B,4
800,2.5,CAMK2G,4
801,2.5,CASP4,3
802,2.5,CCL2,3
803,2.5,CCNG1,3
804,2.5,CD19,3
805,2.5,CDH4,3
806,2.5,CDKL5,5
807,2.5,CDKN1C,4
808,2.5,CENPF,5
809,2.5,CLP1,3
810,2.5,CSF3,4
811,2.5,CTBP1,3
812,2.5,CTNND2,3
813,2.5,CUL4A,4
814,2.5,DNM1,4
815,2.5,DSCAML1,3
816,2.5,DTX1,3
817,2.5,E2F3,3
818,2.5,EDIL3,4
819,2.5,EDNRB,3
820,2.5,EHMT2,3
821,2.5,EIF4A2,3
822,2.5,ELF1,3
823,2.5,ELF4,3
824,2.5,ENO1,4
825,2.5,EPHA1,4
826,2.5,EPHA4,4
827,2.5,EPHA6,4
828,2.5,ETNK2,4
829,2.5,FAM171B,3
830,2.5,FBN2,3
831,2.5,FGF1,4
832,2.5,FGF14,3
833,2.5,FHL2,4
834,2.5,FOXO4,4
